Agriculture,Production,Construction,"Distribution, transport, hotels and restaurants",Information and communication,Financial and insurance,Real estate,Professional and support activities,"Government, health and education",Other services
407,"4,738","1,891","6,610",743,"1,164",197,"2,530","6,546","1,302"
426,"4,709","1,927","6,635",773,"1,177",203,"2,583","6,569","1,331"
416,"4,792","1,945","6,787",774,"1,176",198,"2,610","6,562","1,340"
389,"4,755","2,014","6,764",799,"1,156",194,"2,624","6,564","1,322"
374,"4,684","1,970","6,636",829,"1,177",191,"2,658","6,599","1,325"
385,"4,725","1,964","6,675",826,"1,181",191,"2,618","6,640","1,351"
375,"4,769","1,984","6,794",846,"1,175",188,"2,745","6,662","1,356"
339,"4,709","2,017","6,845",878,"1,159",191,"2,759","6,699","1,340"
332,"4,647","1,956","6,712",896,"1,169",205,"2,789","6,789","1,315"
340,"4,565","1,992","6,729",915,"1,145",193,"2,826","6,883","1,345"
350,"4,635","2,009","6,867",939,"1,176",211,"2,890","6,804","1,382"
328,"4,592","2,028","6,856",954,"1,192",199,"2,885","6,867","1,388"
323,"4,485","2,013","6,780",970,"1,198",192,"2,876","6,932","1,376"
335,"4,471","2,051","6,784",995,"1,194",190,"2,888","6,988","1,406"
337,"4,464","2,075","6,902","1,032","1,240",196,"2,952","7,004","1,401"
326,"4,401","2,062","6,872","1,056","1,250",208,"2,882","7,092","1,374"
304,"4,366","2,046","6,788","1,071","1,228",211,"2,917","7,135","1,338"
298,"4,321","2,096","6,817","1,076","1,217",210,"2,939","7,246","1,328"
312,"4,336","2,142","6,904","1,089","1,250",212,"2,990","7,146","1,381"
288,"4,322","2,150","6,913","1,068","1,247",214,"3,006","7,230","1,337"
284,"4,226","2,112","6,869","1,011","1,243",226,"3,026","7,296","1,317"
279,"4,203","2,102","6,978",990,"1,267",217,"3,024","7,381","1,358"
274,"4,243","2,160","7,035","1,012","1,270",217,"3,007","7,364","1,405"
256,"4,225","2,182","7,115","1,018","1,232",208,"3,021","7,455","1,385"
272,"4,032","2,163","7,072","1,004","1,252",205,"2,957","7,570","1,404"
260,"3,977","2,219","7,080","1,010","1,251",207,"2,953","7,668","1,477"
276,"3,891","2,300","7,170","1,033","1,271",216,"2,987","7,670","1,487"
271,"3,791","2,280","7,233","1,027","1,238",207,"2,987","7,769","1,480"
261,"3,757","2,298","7,092","1,044","1,216",228,"3,010","7,923","1,462"
264,"3,698","2,314","7,082","1,045","1,206",244,"2,989","8,017","1,467"
273,"3,804","2,372","7,110","1,049","1,201",234,"2,995","8,043","1,457"
271,"3,776","2,403","7,164","1,028","1,192",242,"3,045","8,061","1,455"
288,"3,707","2,397","7,090","1,026","1,219",224,"3,085","8,155","1,413"
284,"3,734","2,384","7,088","1,013","1,210",240,"3,093","8,185","1,431"
283,"3,723","2,458","7,096","1,024","1,287",248,"3,108","8,272","1,450"
288,"3,675","2,410","7,062","1,022","1,279",257,"3,117","8,281","1,448"
273,"3,646","2,431","7,013","1,014","1,270",252,"3,111","8,432","1,426"
268,"3,699","2,460","7,012","1,024","1,259",263,"3,086","8,418","1,446"
293,"3,704","2,510","7,110","1,045","1,252",248,"3,147","8,358","1,528"
302,"3,670","2,542","7,112","1,057","1,270",248,"3,153","8,297","1,508"
288,"3,666","2,527","7,010","1,056","1,263",257,"3,178","8,278","1,473"
294,"3,745","2,544","6,964","1,051","1,272",245,"3,230","8,269","1,513"
297,"3,738","2,558","7,052","1,062","1,304",266,"3,344","8,277","1,512"
307,"3,677","2,537","7,158","1,019","1,312",279,"3,351","8,367","1,517"
334,"3,600","2,535","7,171","1,024","1,288",263,"3,337","8,424","1,509"
321,"3,533","2,512","7,140","1,033","1,287",253,"3,386","8,538","1,519"
313,"3,531","2,583","7,209","1,063","1,272",259,"3,323","8,486","1,533"
306,"3,488","2,564","7,182","1,036","1,244",252,"3,196","8,633","1,584"
322,"3,346","2,482","7,002","1,035","1,227",273,"3,151","8,700","1,579"
311,"3,260","2,385","6,859","1,015","1,235",268,"3,183","8,635","1,583"
329,"3,304","2,311","6,922","1,020","1,246",265,"3,191","8,715","1,599"
323,"3,281","2,311","6,878","1,014","1,223",254,"3,214","8,835","1,579"
336,"3,287","2,208","6,793","1,011","1,210",263,"3,201","8,816","1,549"
341,"3,338","2,207","6,908",979,"1,175",262,"3,219","8,902","1,532"
369,"3,362","2,234","7,098","1,045","1,165",301,"3,193","8,866","1,594"
366,"3,391","2,238","6,945","1,030","1,171",300,"3,261","8,871","1,555"
357,"3,357","2,212","6,902","1,059","1,179",299,"3,156","8,963","1,544"
342,"3,389","2,198","6,954","1,073","1,173",308,"3,172","8,904","1,587"
370,"3,360","2,237","6,945","1,061","1,192",300,"3,227","8,819","1,639"
357,"3,411","2,172","7,009","1,083","1,215",293,"3,251","8,812","1,583"
374,"3,385","2,148","6,885","1,124","1,199",333,"3,272","8,800","1,554"
353,"3,453","2,171","7,015","1,098","1,229",328,"3,302","8,752","1,574"
356,"3,481","2,175","7,113","1,113","1,216",329,"3,355","8,796","1,607"
316,"3,429","2,150","7,110","1,146","1,169",346,"3,344","8,956","1,592"
304,"3,458","2,102","7,022","1,161","1,150",344,"3,354","8,951","1,587"
308,"3,394","2,155","6,981","1,162","1,144",344,"3,447","8,996","1,591"
324,"3,464","2,188","7,085","1,177","1,178",326,"3,523","8,997","1,642"
322,"3,468","2,200","7,195","1,198","1,172",341,"3,533","8,979","1,639"
379,"3,453","2,229","7,132","1,150","1,171",369,"3,557","9,034","1,663"
395,"3,508","2,217","7,094","1,174","1,158",359,"3,582","9,129","1,693"
386,"3,562","2,242","7,111","1,237","1,207",340,"3,626","9,112","1,781"
375,"3,614","2,268","7,197","1,250","1,182",339,"3,588","9,173","1,753"
348,"3,574","2,266","7,196","1,276","1,185",334,"3,603","9,300","1,765"
340,"3,568","2,196","7,198","1,243","1,222",339,"3,645","9,251","1,756"
349,"3,521","2,223","7,369","1,275","1,254",348,"3,712","9,269","1,812"
383,"3,538","2,264","7,455","1,261","1,279",347,"3,767","9,337","1,756"
351,"3,536","2,271","7,402","1,225","1,262",358,"3,768","9,356","1,744"
337,"3,553","2,315","7,483","1,207","1,269",356,"3,790","9,356","1,773"
357,"3,529","2,290","7,657","1,302","1,260",354,"3,761","9,372","1,809"
375,"3,476","2,316","7,597","1,321","1,196",352,"3,880","9,396","1,789"
381,"3,447","2,336","7,443","1,323","1,195",370,"3,892","9,491","1,768"
374,"3,453","2,327","7,581","1,340","1,194",345,"3,903","9,418","1,840"
352,"3,477","2,367","7,584","1,273","1,234",343,"3,920","9,451","1,907"
375,"3,512","2,330","7,630","1,242","1,241",355,"3,958","9,470","1,882"
354,"3,509","2,332","7,548","1,312","1,256",372,"3,918","9,599","1,835"
350,"3,472","2,333","7,642","1,317","1,277",346,"3,993","9,506","1,856"
334,"3,465","2,341","7,600","1,305","1,383",353,"3,984","9,701","1,796"
343,"3,501","2,405","7,459","1,290","1,373",397,"4,024","9,851","1,775"
333,"3,522","2,426","7,365","1,322","1,293",376,"3,998","9,882","1,875"
348,"3,572","2,361","7,410","1,342","1,278",396,"4,077","9,863","1,898"
351,"3,551","2,341","7,441","1,409","1,303",407,"4,070","9,943","1,828"
338,"3,558","2,310","7,408","1,498","1,276",386,"4,085","10,073","1,902"
322,"3,512","2,302","7,363","1,526","1,244",381,"4,157","10,115","1,881"
294,"3,461","2,201","7,176","1,462","1,314",397,"4,056","10,173","1,794"
314,"3,299","2,129","7,128","1,541","1,340",401,"4,142","10,191","1,777"
316,"3,263","2,081","6,874","1,557","1,465",416,"4,104","10,258","1,748"
287,"3,332","2,093","6,764","1,559","1,457",418,"4,111","10,251","1,747"
282,"3,309","2,113","6,832","1,541","1,447",409,"4,054","10,250","1,848"
285,"3,361","2,203","6,946","1,599","1,420",439,"4,120","10,328","1,763"
258,"3,298","2,160","6,972","1,624","1,372",390,"4,153","10,430","1,783"
246,"3,317","2,184","6,880","1,607","1,375",391,"4,131","10,465","1,839"
252,"3,311","2,206","6,818","1,663","1,435",415,"4,209","10,484","1,788"
245,"3,238","2,156","6,822","1,755","1,429",399,"4,209","10,564","1,805"
