date (output),Agriculture,Production,Construction,"Distribution, transport, hotels and restaurants",Information and communication,Financial and insurance,Real estate,Professional and support activities,"Government, health and education",Other services
1997, 20 680 ,464616,107451,301853,85217,123618,149289,133921,197156,40701
1998,20266,464443,115794,322808,96091,134237,156846,147247,206030,43805
1999,19586,466012,123951,339799,102944,138586,163755,158709,219669,46353
2000,19460,485892,134959,350937,113699,138933,169845,169603,235724,49771
2001,18893,478909,144700,373282,118835,148788,177635,180256,257085,51785
2002,21163,477178,157351,383246,124935,162304,183582,191693,278185,55168
2003,21403,485108,168745,405039,133446,173896,189051,201610,301822,59117
2004,21834,498911,181481,423745,138647,199665,195263,213207,327020,62805
2005,19391,528721,191273,435712,142323,203189,203165,226930,352090,66656
2006,20460,564840,204575,453285,144414,262893,213879,247231,376472,69727
2007,21889,578550,223434,469585,152135,247886,224619,264846,396314,71390
2008,24861,613621,230324,479117,156200,239733,232045,273194,425416,74841
2009,24521,571763,201626,463586,153453,263529,236672,270208,449986,77116
2010,24431,617637,208173,476881,158300,254764,242032,281140,458018,78741
2011,28291,651429,211434,488928,163543,270749,248735,292325,463966,78947
2012,27645,667038,217195,502536,166896,265428,263722,304269,477102,82385
2013,28924,684162,230124,527797,172568,280458,275564,327861,487672,85511
2014,30692,684676,250004,545776,179404,287621,287958,345544,503644,88432
2015,30089,667085,270528,564280,186382,282588,302305,367451,512906,90393
2016,29721,677856,283792,576963,196147,309082,316259,382126,524237,94214
2017,31259,712610,302176,604257,211235,320482,320760,413000,536457,100380
2018,32744,751194,326986,633387,221546,320423,329767,434506,557629,104029
2019,34971,749363,337914,660771,229713,324698,337582,452962,589788,106671
2020,34220,685992,295206,568820,224055,320029,338558,415056,623132,85876
